keyword,category,era,sample_size_all,sample_size_shorts,sample_size_videos,above_threshold_all,above_threshold_shorts,above_threshold_videos,below_threshold_all,below_threshold_shorts,below_threshold_videos,pct_above_threshold_all,pct_above_threshold_shorts,pct_above_threshold_videos,median_views_all,median_views_shorts,median_views_videos,mean_views_all,mean_views_shorts,mean_views_videos,min_views_seen_all,min_views_seen_shorts,min_views_seen_videos,max_views_seen_all,max_views_seen_shorts,max_views_seen_videos,total_views_all,total_views_shorts,total_views_videos,error
Sigma grindset,age_proxy,reels_covid,365,337,28,321,295,26,44,42,2,87.9,87.5,92.9,68673,68798,63860,701553,726494,401375,19,29,19,64923803,64923803,7207342,256066845,244828478,11238500,
Sksksk,age_proxy,baseline,487,291,196,46,27,19,441,264,177,9.4,9.3,9.7,27,34,16,27326,26119,29117,0,0,0,4124009,4124009,1487946,13307762,7600629,5706932,
Stonks,age_proxy,baseline,300,95,205,227,54,173,73,41,32,75.7,56.8,84.4,5903,1243,12368,186161,70536,239743,1,1,20,14417151,2705341,14417151,55848300,6700920,49147315,
Stonks,age_proxy,reels_covid,500,151,349,404,100,304,96,51,45,80.8,66.2,87.1,9451,1743,22388,190586,47069,252682,12,13,12,24850213,2705341,24850213,95293000,7107419,88186018,
Sugma,age_proxy,baseline,151,51,100,151,51,100,0,0,0,100,100,100,11260,6450,17121,135225,24875,191503,1036,1594,1036,9701275,672244,9701275,20418975,1268625,19150300,
Sugma,age_proxy,reels_covid,213,92,121,184,71,113,29,21,8,86.4,77.2,93.4,29837,28558,30707,286176,520284,108176,5,5,22,15019065,15019065,2650620,60955488,47866128,13089296,
Sugondese,age_proxy,baseline,159,104,55,39,28,11,120,76,44,24.5,26.9,20,183,276,116,91672,34978,198875,2,16,2,10675037,1129193,10675037,14575848,3637712,10938125,
Thot (slang),age_proxy,ai_gen,7,3,4,3,1,2,4,2,2,42.9,33.3,50,631,612,143288,1428525,3066730,199871,434,514,434,9199064,9199064,512476,9999675,9200190,799484,
Trollface,age_proxy,baseline,150,31,119,147,28,119,3,3,0,98,90.3,100,493300,52278,811098,2664123,1312161,3016315,85,85,1081,33352064,19928240,33352064,399618450,40676991,358941485,
U mad bro,age_proxy,baseline,188,115,73,76,40,36,112,75,37,40.4,34.8,49.3,455,297,686,3437290,1229059,6916009,0,0,5,414639441,49511836,414639441,646210520,141341785,504868657,
Understood the assignment,age_proxy,reels_covid,500,432,68,236,208,28,264,224,40,47.2,48.1,41.2,910,917,323,106405,117726,34488,0,0,16,12397221,12397221,1241712,53202500,50857632,2345184,
Updog,age_proxy,baseline,100,80,20,52,45,7,48,35,13,52,56.2,35,1118,1418,754,159169,190701,33039,1,1,23,13602689,13602689,508562,15916900,15256080,660780,
Updog,age_proxy,ai_gen,108,97,11,31,31,0,77,66,11,28.7,32,0,431,544,35,19453,21648,98,0,0,1,532672,532672,395,2100924,2099856,1078,
Updog,age_proxy,reels_covid,132,106,26,65,48,17,67,58,9,49.2,45.3,65.4,714,625,2216,59713,65658,35476,7,7,42,2235275,2235275,508553,7882116,6959748,922376,
VSCO girl,age_proxy,baseline,400,92,308,352,48,304,48,44,4,88,52.2,98.7,49007,1006,111712,340126,46829,427734,103,103,187,9687741,1796715,9687741,136050400,4308268,131742072,
Vibe check,age_proxy,baseline,200,171,29,86,72,14,114,99,15,43,42.1,48.3,598,602,472,69288,44651,214561,9,9,34,5340373,1009085,5340373,13857600,7635321,6222269,
Whomst,age_proxy,baseline,238,183,55,115,94,21,123,89,34,48.3,51.4,38.2,869,1201,462,369605,331314,497010,0,12,0,26905837,26905837,23611411,87965990,60630462,27335550,
Woman yelling at cat,age_proxy,baseline,425,244,181,317,161,156,108,83,25,74.6,66,86.2,10775,3264,36205,1331278,549447,2385238,9,16,9,85279153,33270481,85279153,565793150,134065068,431728078,
Wombo combo,age_proxy,baseline,355,277,78,76,62,14,279,215,64,21.4,22.4,17.9,191,212,120,15489,17011,10085,0,1,0,2862047,2862047,384280,5498595,4712047,786630,
Wombo combo,age_proxy,ai_gen,295,240,55,193,161,32,102,79,23,65.4,67.1,58.2,1512,1440,1793,18860,20356,12335,1,1,3,2881090,2881090,169047,5563700,4885440,678425,
Wombo combo,age_proxy,reels_covid,106,67,39,19,9,10,87,58,29,17.9,13.4,25.6,93,77,135,16680,23680,4654,7,7,11,904539,904539,100533,1768080,1586560,181506,
Zoomer generation,age_proxy,baseline,248,114,134,187,59,128,61,55,6,75.4,51.8,95.5,92024,1494,210593,1436711,1348176,1512032,4,4,35,116011557,116011557,26103772,356304328,153692064,202612288,
Zoomer generation,age_proxy,ai_gen,56,43,13,48,38,10,8,5,3,85.7,88.4,76.9,422860,501789,212867,3154290,3967776,463528,5,5,45,53894753,53894753,1924774,176640240,170614368,6025864,
Zoomer generation,age_proxy,reels_covid,50,32,18,25,10,15,25,22,3,50,31.2,83.3,6411,79,149935,1022312,853695,1322075,8,8,68,24091150,24091150,18955841,51115600,27318240,23797350,
bussin,age_proxy,ai_gen,110,73,37,54,43,11,56,30,26,49.1,58.9,29.7,900,1775,343,185924,276882,6466,0,0,3,13736553,13736553,77837,20451640,20212386,239242,
bussin,age_proxy,reels_covid,450,315,135,318,235,83,132,80,52,70.7,74.6,61.5,48464,95587,27410,1940442,2453282,743816,2,2,3,79775060,79775060,35796380,873198900,772783830,100415160,
cheugy,age_proxy,reels_covid,308,98,210,180,54,126,128,44,84,58.4,55.1,60,2016,1492,2327,130453,46201,169770,0,9,0,3504407,2945165,3504407,40179524,4527698,35651700,
gyat,age_proxy,ai_gen,400,379,21,366,345,21,34,34,0,91.5,91,100,39346,38643,162916,1195992,1216215,831023,10,10,3113,57317907,57317907,4466023,478396800,460945485,17451483,
lit,age_proxy,baseline,486,104,382,402,66,336,84,38,46,82.7,63.5,88,30874,12746,34241,1219941,2005359,1006110,2,2,2,141639871,104036184,141639871,592891326,208557336,384334020,
lit,age_proxy,ai_gen,500,269,231,484,259,225,16,10,6,96.8,96.3,97.4,93548,103382,79610,2032076,1435731,2726521,0,50,0,350196415,95727685,350196415,1016038000,386211639,629826351,
lit,age_proxy,reels_covid,500,123,377,491,121,370,9,2,7,98.2,98.4,98.1,235260,419715,213722,4929391,1980388,5891533,4,4,8,521385567,65075664,521385567,2464695500,243587724,2221107941,
no cap,age_proxy,baseline,221,110,111,202,97,105,19,13,6,91.4,88.2,94.6,1229638,1239991,1209797,10730740,7796806,13638242,3,3,4,303833300,233013737,303833300,2371493540,857648660,1513844862,
no cap,age_proxy,ai_gen,500,337,163,439,286,153,61,51,10,87.8,84.9,93.9,16772,11752,31030,536688,358687,904702,4,4,31,101684293,13954680,101684293,268344000,120877519,147466426,
no cap,age_proxy,reels_covid,500,227,273,450,200,250,50,27,23,90,88.1,91.6,1602059,1168886,2100833,15595102,9839655,20380766,2,4,2,482959912,137895006,482959912,7797551000,2233601685,5563949118,
on fleek,age_proxy,baseline,368,188,180,127,33,94,241,155,86,34.5,17.6,52.2,159,90,1503,731407,4241,1490892,2,2,7,157753791,369470,157753791,269157776,797308,268360560,
rizz,age_proxy,ai_gen,500,387,113,456,347,109,44,40,4,91.2,89.7,96.5,940145,1053269,721282,6470003,7925982,1483598,0,0,45,309409702,309409702,22102751,3235001500,3067355034,167646574,
rizz,age_proxy,reels_covid,443,363,80,434,354,80,9,9,0,98,97.5,100,36291,33167,58593,573147,611212,400427,23,23,1398,42244961,42244961,9674796,253904121,221869956,32034160,
simp,age_proxy,reels_covid,500,173,327,407,131,276,93,42,51,81.4,75.7,84.4,116963,45968,159076,1357067,995504,1548353,5,5,7,127721420,60070442,127721420,678533500,172222192,506311431,
skibidi toilet,age_proxy,ai_gen,500,281,219,491,273,218,9,8,1,98.2,97.2,99.5,8011642,16093326,6009501,26047598,34028480,15807288,8,8,32,261021759,243938143,261021759,13023799000,9562002880,3461796072,
sus among us,age_proxy,reels_covid,400,149,251,382,143,239,18,6,12,95.5,96,95.2,396269,951757,266291,14908504,24151344,9421719,9,17,9,450525263,450525263,152807204,5963401600,3598550256,2364851469,
throw shade,age_proxy,baseline,50,29,21,25,12,13,25,17,8,50,41.4,61.9,882,254,4910,218795,27074,483554,5,5,143,5372550,654347,5372550,10939750,785146,10154634,
throw shade,age_proxy,ai_gen,217,150,67,84,54,30,133,96,37,38.7,36,44.8,612,628,396,80513,6855,245419,0,0,0,6052484,389117,6052484,17471321,1028250,16443073,
throw shade,age_proxy,reels_covid,300,103,197,106,37,69,194,66,128,35.3,35.9,35,277,322,235,708556,399222,870289,1,1,1,62878227,32101411,62878227,212566800,41119866,171446933,
yeet,age_proxy,baseline,494,281,213,300,152,148,194,129,65,60.7,54.1,69.5,1854,1097,4238,185745,37629,381146,0,0,0,33892383,3770719,33892383,91758030,10573749,81184098,
yeet,age_proxy,reels_covid,371,224,147,67,42,25,304,182,122,18.1,18.8,17,109,142,96,63015,7918,146972,5,10,5,3246442,482307,3246442,23378565,1773632,21604884,
Weeb,age_proxy,baseline,207,136,71,65.7,45572491,3515,220156,3,14712044,66,24,42,36.4,33149630,273,502267,3,14712044,141,112,29,79.4,12422861,5606,103969269,408,1044555124,
Weeb,age_proxy,reels_covid,496,476,20,96,1684710553,309286,3396593,5,247621125,95,91,4,95.8,805852270,116563,8482655,10,247621125,401,385,16,96,878858283,367749,4207396880,4760,4952422500,
Otaku,age_proxy,baseline,200,195,5,97.5,98392783,16343,491963,26,25822359,58,56,2,96.6,22783262,6379,392814,845,13528278,142,139,3,97.9,75609521,22416,78562800,164775,67641390,
Otaku,age_proxy,reels_covid,265,180,85,67.9,10208838,3161,38523,1,612630,134,94,40,70.1,4208485,3314,31406,99,612630,131,86,45,65.6,6000353,2793,8322590,17820,52073550,
Otaku,age_proxy,ai_gen,500,493,7,98.6,285645637,140625,571291,28,19023763,384,377,7,98.2,256019123,118100,666716,28,19023763,116,116,0,100,29626514,163791,333358000,13804,133166341,
Waifu,age_proxy,reels_covid,500,484,16,96.8,166959857,86093,333919,4,33217018,219,208,11,95,53347780,65847,243597,4,6930100,281,276,5,98.2,113612077,113634,121798500,1936,110881600,
Waifu,age_proxy,ai_gen,497,320,177,64.4,355714699,4971,715723,1,44269733,420,251,169,59.8,320901422,2308,764051,1,44269733,77,69,8,89.6,34813277,110440,379733347,320,7835742741,
Baka,age_proxy,baseline,372,141,231,37.9,216360383,352,581613,3,66719416,166,47,119,28.3,111625027,251,672439,7,66719416,206,94,112,45.6,104735356,661,250147308,987,15412185096,
